time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,9,9,1640,161,161.0,78.000,1,800,0,78,0.0,0.0
30,4,2,2,9,9,220,21,21.0,0.000,1,0,0,0,0.0,0.0
40,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
50,4,2,2,9,9,-1380,-137,-137.0,-79.000,1,-800,0,-79,0.0,0.0
60,4,2,2,9,9,1700,169,169.0,93.000,1,940,0,93,0.0,0.0
70,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
80,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
90,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
100,4,2,2,9,9,140,13,13.0,7.000,1,80,0,7,0.0,0.0
110,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
120,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
130,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
140,4,2,2,9,9,-1560,-155,-155.0,-101.000,0,-1020,0,-101,0.0,0.0
150,4,2,2,9,9,2600,259,259.0,111.000,1,1120,0,111,0.0,0.0
160,4,2,2,9,9,60,5,5.0,0.000,1,0,0,0,0.0,0.0
170,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
180,4,2,2,9,9,0,0,0.0,0.000,1,0,0,0,0.0,0.0
