topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,1,2,10,1,1,1000,10,1024,100,2,0,29749.08333
4,1,2,10,1,1,1000,1000,1024,10000,5,0,14306.41667
2,1,2,1000000,1,0,1,1000,512,10000,2,0,85.16666667
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0
4,10,2,1000000,10,1,1000,1000,512,10000,5,0,-12.83333333
2,10,4,10,10,0,1,10,1024,100,5,29,8191.166667
4,10,4,1000000,10,1,1,1000,512,10000,5,0,15.83333333
2,10,2,1000000,1,1,1,1000,512,10000,2,29,154
4,10,2,10,10,1,1000,1000,512,10000,5,0,11955.08333
2,1,2,1000000,1,1,1000,10,512,100,2,0,-38.83333333
2,1,4,1000000,1,1,1,10,512,100,2,29,85.33333333
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,-3.083333333
4,10,4,10,1,1,1,1000,512,10000,5,0,849.5
2,10,2,10,1,1,1,10,512,100,2,29,905.3333333
4,10,2,10,1,0,1000,10,512,100,5,29,12217.16667
2,10,2,10,1,0,1,10,512,100,2,0,916.25
2,10,2,10,1,1,1,1000,512,10000,2,0,906.0833333
4,1,4,10,1,1,1,10,512,100,5,29,893.5833333
4,1,2,10,10,1,1,10,1024,100,5,29,5372.5
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,64.33333333
2,10,2,1000000,10,1,1,1000,512,10000,5,0,0
2,10,4,10,10,1,1,1000,512,10000,5,29,8189.833333
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,56.5
4,1,4,10,10,1,1,10,1024,100,5,0,5065.833333
2,1,4,10,1,0,1,10,512,100,2,0,916.4166667
4,10,2,1000000,10,0,1,10,512,100,5,29,0.583333333
4,1,2,1000000,10,1,1000,10,512,100,5,0,-0.333333333
2,1,4,1000000,1,0,1000,10,1024,100,2,0,2.666666667
2,10,4,10,1,0,1,10,512,100,5,29,923.25
2,10,2,1000000,1,1,1000,1000,512,10000,5,29,-6.25
4,1,4,1000000,10,1,1,1000,512,10000,2,0,341.0833333
2,10,4,10,10,0,1,10,512,100,5,0,8142.75
2,10,2,10,1,0,1000,1000,512,10000,5,29,17678.75
2,1,2,10,10,1,1000,1000,512,10000,5,0,20594.91667
2,10,4,10,1,0,1,1000,1024,10000,5,29,905.75
2,1,4,1000000,10,1,1,1000,1024,10000,2,29,0
2,1,2,10,10,0,1000,1000,512,10000,2,0,25733
4,1,2,10,1,0,1000,10,512,100,2,0,27590.08333
2,10,2,10,1,0,1000,10,512,100,5,29,17349.58333
2,10,4,1000000,10,0,1,1000,512,10000,2,29,0
4,10,4,1000000,10,1,1,1000,512,10000,2,0,-10.33333333
4,10,2,10,1,0,1,1000,1024,10000,2,29,906.5
4,10,4,10,10,1,1000,10,1024,100,5,0,10280.33333
4,10,4,10,1,0,1,10,512,100,5,29,867.6666667
2,10,2,10,10,0,1,10,1024,100,2,0,9087.333333
4,10,2,10,10,1,1000,10,512,100,2,0,33021
2,10,4,10,10,0,1,1000,1024,10000,2,0,9129.083333
2,1,2,1000000,10,1,1,10,512,100,2,0,0
4,1,4,10,10,1,1,1000,512,10000,5,0,5055.25
4,1,4,10,1,0,1000,1000,512,10000,2,29,45704
