time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,1220,121,1,1220,1200,121,1.9,1.9
40,4,2,2,11,11,6980,696,1,6980,8480,696,1.3,1.3
50,4,2,2,11,11,10840,1082,1,10840,19300,1082,1.2,1.2
60,4,2,2,11,11,8140,813,1,8140,27320,813,1.2,1.2
70,4,2,2,11,11,8600,858,1,8600,35460,858,1.2,1.2
80,4,2,2,11,11,10860,1084,1,10860,46380,1084,1.1,1.1
90,4,2,2,11,11,8120,809,1,8120,54400,809,1.2,1.2
100,4,2,2,11,11,8720,870,1,8720,62680,870,1.2,1.2
110,4,2,2,11,11,11240,1122,1,11240,73620,1122,1.2,1.2
120,4,2,2,11,11,8640,862,1,8640,81840,862,1.1,1.1
130,4,2,2,11,11,7820,781,1,7820,90020,781,1.2,1.2
140,4,2,2,11,11,11040,1102,1,11040,100960,1102,1.1,1.1
150,4,2,2,11,11,8320,831,1,8320,109160,831,1.1,1.1
160,4,2,2,11,11,8300,829,1,8300,117360,829,1.1,1.1
170,4,2,2,11,11,10780,1077,1,10780,128320,1077,1.1,1.1
180,4,2,2,11,11,8000,799,1,8000,136500,799,1.1,1.1
