time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,20,20,0,0,0,0,0,0,0.0,0.0
20,4,4,4,20,20,11120,1103,8,11120,4440,1103,370.1,663.2
30,4,4,4,20,20,18400,1801,10,18400,20260,1801,2405.7,3702.7
40,4,4,4,20,20,45400,4530,10,45400,66580,4530,3086.1,4549.3
50,4,4,4,20,20,41760,4161,10,41760,107620,4161,2895.7,3666.3
60,4,4,4,20,20,44360,4421,10,44360,151240,4421,2729.5,3517.2
70,4,4,4,20,20,55340,5522,10,55340,205780,5522,2492.6,3313.2
80,4,4,4,20,20,80300,8004,10,80300,287040,8004,2167.6,2832.2
90,4,4,4,20,20,109460,10902,10,109460,395660,10902,1846.6,2425.1
100,4,4,4,20,20,96400,9617,10,96400,493220,9617,1658.4,2062.1
110,4,4,4,20,20,101120,10090,10,101120,597460,10090,1551.1,1960.9
120,4,4,4,20,20,65760,6559,10,65760,671820,6559,1459.6,1960.9
130,4,4,4,20,20,0,0,10,0,671820,0,1459.6,1960.9
