time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,1,0,0,0,0.0,0.0
20,4,2,2,19,19,2000,198,1,200,260,19,4.0,4.0
30,4,2,2,19,19,59920,5969,1,6420,6380,639,1.5,1.5
40,4,2,2,19,19,103100,10284,1,10780,16880,1075,1.3,1.3
50,4,2,2,19,19,78220,7798,1,8080,24880,805,1.2,1.2
60,4,2,2,19,19,79300,7914,1,7920,32960,790,1.2,1.2
70,4,2,2,19,19,106440,10619,1,11040,43860,1101,1.2,1.2
80,4,2,2,19,19,80280,8015,1,7960,52000,794,1.2,1.2
90,4,2,2,19,19,79700,7945,1,8320,60120,829,1.2,1.2
100,4,2,2,19,19,105220,10505,1,10980,70960,1096,1.1,1.1
110,4,2,2,19,19,80020,7987,1,7660,79100,764,1.1,1.1
120,4,2,2,19,19,78380,7825,1,8320,87280,830,1.1,1.1
130,4,2,2,19,19,106540,10635,1,10980,98160,1096,1.1,1.1
140,4,2,2,19,19,80000,7987,1,8600,106320,858,1.1,1.1
150,4,2,2,19,19,80060,7994,1,8800,114520,878,1.1,1.1
160,4,2,2,19,19,107380,10714,1,10860,125420,1083,1.1,1.1
170,4,2,2,19,19,78920,7879,1,8420,133640,840,1.1,1.1
180,4,2,2,19,19,80600,8047,1,8340,141840,832,1.1,1.1
