time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,4,4,1360,135,0.0,0.000,1,1360,1380,135,1.6,1.6
20,4,2,2,4,4,8240,816,0.0,0.000,1,8240,9020,816,1.3,1.3
30,4,2,2,4,4,8240,823,0.0,0.000,1,8240,17120,823,1.2,1.2
40,4,2,2,4,4,11200,1118,0.0,0.000,1,11200,27980,1118,1.1,1.1
50,4,2,2,4,4,8020,801,0.0,0.000,1,8020,36200,801,1.1,1.1
60,4,2,2,4,4,8440,843,0.0,0.000,1,8440,44420,843,1.1,1.1
70,4,2,2,4,4,10600,1059,0.0,0.000,1,10600,55400,1059,1.1,1.1
80,4,2,2,4,4,8220,821,0.0,0.000,1,8220,63640,821,1.1,1.1
90,4,2,2,4,4,8260,824,0.0,0.000,1,8260,71880,824,1.1,1.1
100,4,2,2,4,4,10800,1079,0.0,0.000,1,10800,82840,1079,1.1,1.1
110,4,2,2,4,4,8100,809,0.0,0.000,1,8100,91100,809,1.1,1.1
120,4,2,2,4,4,8300,829,0.0,0.000,1,8300,99320,829,1.1,1.1
130,4,2,2,4,4,11280,1126,0.0,0.000,1,11280,110320,1126,1.1,1.1
140,4,2,2,4,4,8280,826,0.0,0.000,1,8280,118560,826,1.1,1.1
150,4,2,2,4,4,7740,773,0.0,0.000,1,7740,126840,773,1.1,1.1
160,4,2,2,4,4,10460,1045,0.0,0.000,1,10460,137820,1045,1.1,1.1
170,4,2,2,4,4,8180,817,0.0,0.000,1,8180,146080,817,1.1,1.1
180,4,2,2,4,4,8100,809,0.0,0.000,1,8100,154320,809,1.1,1.1
