time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,28,28,0,0,0,0,0,0,0.0,0.0
20,4,4,4,28,28,39700,3940,10,10600,380,1052,2704.5,4212.0
30,4,4,4,28,28,93080,8697,10,4340,4880,405,11587.6,12899.3
40,4,4,4,28,28,88760,8753,10,8780,14400,865,14130.4,17199.2
51,4,4,4,28,28,130780,12907,10,12860,27860,1269,11915.2,16767.4
61,4,4,4,28,28,195040,19408,10,20160,48340,2006,9866.7,16550.8
71,4,4,4,28,28,198160,19670,10,20220,68260,2007,9290.3,16662.9
81,4,4,4,28,28,344480,34245,10,33140,101800,3294,6919.4,11132.0
91,4,4,4,28,28,466360,46325,10,50060,151620,4972,5493.3,8643.0
101,4,4,4,28,28,529780,52766,10,52920,204140,5270,4418.5,6367.9
111,4,4,4,28,28,530540,52832,10,55280,258660,5504,3758.2,4978.1
121,4,4,4,28,28,632620,62991,10,66260,325080,6597,3414.4,4740.6
131,4,4,4,28,28,564940,56173,10,55940,380500,5562,3183.4,4428.3
141,4,4,4,28,28,543620,54150,10,55500,436840,5528,2947.0,3915.0
151,4,4,4,28,28,707740,70632,10,74040,509260,7389,2727.1,3453.3
161,4,4,4,28,28,539220,53648,10,54480,564200,5420,2648.1,3393.8
171,4,4,4,28,28,494480,49084,10,52400,616380,5201,2579.3,3389.1
181,4,4,4,28,28,637100,63437,10,63980,680140,6370,2516.6,3278.1
