time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,0,0,0,0,0.0,0.0
20,4,2,2,19,19,24800,2447,1,2320,1780,229,1437.7,1437.7
30,4,2,2,19,19,102780,9921,1,10440,11960,1007,888.2,888.2
40,4,2,2,19,19,259940,25559,1,26120,39700,2568,526.8,526.8
50,4,2,2,19,19,225920,22414,1,23080,61820,2289,463.1,463.1
60,4,2,2,19,19,377980,37647,1,39240,100500,3908,363.1,363.1
70,4,2,2,19,19,592620,59043,1,59740,161080,5951,293.5,293.5
80,4,2,2,19,19,309920,30612,1,32060,192740,3166,276.5,276.5
91,4,2,2,19,19,450100,44529,1,45380,238900,4489,257.5,257.5
101,4,2,2,19,19,573900,56608,1,59240,298300,5843,242.9,242.9
111,4,2,2,19,19,364520,36191,1,36780,335260,3651,240.1,240.1
121,4,2,2,19,19,415700,41040,1,41980,377760,4144,232.9,232.9
131,4,2,2,19,19,482280,47538,1,49020,427540,4831,232.8,232.8
141,4,2,2,19,19,364760,36218,1,37660,464500,3739,232.9,232.9
151,4,2,2,19,19,400620,39583,1,40980,505640,4049,229.8,229.8
161,4,2,2,19,19,544320,53411,1,55060,561920,5402,225.0,225.0
171,4,2,2,19,19,420080,41857,1,43880,604320,4372,221.6,221.6
182,4,2,2,19,19,400240,39592,1,41720,645080,4127,220.2,220.2
